LAT,LON,depth
19.08722222,78.33611111,1.71
19.08777778,78.40111111,1.49
19.17055556,77.93361111,1.41
19.17666667,78.10361111,4.03
19.16027778,78.63444444,5.98
19.14166667,78.33944444,1.87
19.09833333,78.78083333,2.39
19.20916667,78.87638889,2.16
19.80972222,78.46472222,2.89
19.33805556,79.33444444,1.74
19.14583333,79.66666667,5.37
19.475,79.575,1.42
19.09166667,79.84583333,2.08
19.08055556,78.51111111,3.21
9.24972222,76.51833333,1.13
19.05972222,77.93055556,3.9
19.09444444,79.04722222,1.47
19.1,79.03333333,1.41
19.1175,78.94277778,3.14
19.13472222,79.09444444,1.89
19.08333333,78.11666667,2.5
19.10138889,78.09666667,2.12
19.04027778,78.65944444,8.37
19.04166667,78.65,1.87
19.22416667,78.22694444,4.19
19.25,79.41666667,1.03
19.22916667,77.89583333,3.95
19.33333333,78.41666667,1.68
19.34166667,78.41666667,2.92
19.35194444,78.41555556,6.24
19.36666667,79.28333333,10.87
19.35,78.33333333,2.81
19.36666667,78.9,2.68
19.34166667,78.75555556,3.52
19.48333333,78.66666667,3.67
19.53333333,78.51666667,3.02
19.55861111,78.47,2.86
19.58333333,78.5,2.33
19.48333333,79.31666667,1.35
18.975,77.91666667,6.1
19.01111111,78.38777778,6.23
19.20972222,79.59472222,3.96
19.20972222,79.59583333,4.19
19.19777778,78.64222222,6.26
19.21666667,78.26666667,4.47
19.41555556,79.8,3.33
19.38055556,78.8875,3.5
19.41666667,78.76666667,3.04
19.41666667,78.43333333,4.91
19.71666667,78.76666667,2.82
19.73333333,78.76666667,3.01
19.73333333,78.64583333,4.66
18.83611111,79.67222222,5.75
18.875,79.29166667,3.92
18.88333333,77.96666667,3.68
19.06111111,78.11583333,3.5
19.01666667,79.13333333,2.62
19.08333333,78.23333333,12.4
19.33138889,78.38972222,0.59
19.43416667,79.13388889,3.7
19.35805556,79.47722222,1.6
19.36777778,78.78277778,3.21
19.5125,78.58527778,2.82
19.63777778,78.50833333,4.66
18.87305556,79.42805556,3.01
19.4225,78.73944444,2.19
18.84666667,79.58666667,2.8
19.05194444,79.485,0.89
18.90888889,79.1975,2.8
18.875,79.42916667,0.57
18.97,79.45777778,6.12
18.9725,77.91166667,2.8
19,77.785,2.47
19.1,77.8675,0.97
9.2875,76.46388889,10.45
9.2875,76.46388889,10.72
9.33333333,76.41666667,1.7
9.31666667,76.39416667,1.01
9.38333333,76.3775,1.64
9.41361111,76.34916667,2.25
9.45833333,76.33333333,19.3
9.45833333,76.33333333,3.43
9.45833333,76.34166667,0.47
9.48333333,76.34416667,3.48
9.41805556,76.48472222,0.55
9.43333333,76.49416667,0.62
9.36833333,76.50722222,1.42
9.41055556,76.41472222,0.68
9.42027778,76.38444444,0.5
9.55611111,76.31972222,1.19
9.56666667,76.3275,0.64
9.25,76.52916667,3.49
9.32222222,76.46361111,2.02
9.43333333,76.44416667,1.53
9.14583333,76.51388889,2.9
9.23194444,76.64638889,3.81
9.7,76.35,0.89
9.85,76.31666667,1.61
9.83333333,76.3,1.66
9.15416667,76.51388889,15.75
9.18333333,76.48333333,0.23
9.20694444,76.43277778,0.65
9.13333333,76.55555556,1.5
9.14166667,76.61388889,3.23
9.175,76.56666667,11.67
9.175,76.64027778,10.17
9.18333333,76.60833333,8.29
9.20555556,76.63611111,11.92
9.23333333,76.54166667,1.52
20.525,77.46667,7.6
20.58611,77.44306,2.3
20.48333,77.48333,1.7
20.48611,77.4825,6.9
20.20194,76.89222,4.3
20.20389,77.33306,6.5
20.20861,77.47556,3.3
20.27778,77.08611,2.3
20.335,77.24583,5.7
20.29222,77.07222,2.6
20.29306,76.97167,2.6
20.43778,77.40361,7.1
20.14972,77.33472,2.5
20.13722,77.20583,3.1
19.96944,77.13167,2.4
20.00111,77.12167,3.3
20.16833,77.12556,7
20.17,77.06972,2.8
20.0525,77.63556,3.95
19.96667,76.78333,3.5
20.26667,77.4,6.6
20.19306,77.35278,3
20.31222,77.33639,4.5
20.2625,77.4125,8.2
20.00833,76.89167,7
20.05,76.98333,6.7
20.1,76.9,4.7
20.2,76.81667,2.5
19.91028,76.68361,3.4
19.91528,76.625,4.5
20.11667,77.14167,2
20.18333,77.26667,6.3
20.14583,77.45,6
20.22083,77.55111,6.4
20.33333,76.94167,3.3
20.23333,76.98333,3.3
20.32778,77.16389,4.8
20.20917,77.00278,5.5
20.71667,77.58611,3.8
20.50861,77.58472,8.1
20.61389,77.50278,2.1
20.36667,77.33333,5.7
20.51083,78.61417,3.58
20.70722,78.72861,5.1
20.72806,78.6625,4.97
20.83417,78.49417,1.6
20.78944,78.71722,17.12
20.95417,78.46083,7.9
20.96139,78.36833,3.45
20.80389,78.34083,7.8
21.15194,78.28139,4.25
21.15694,78.47306,6.87
21.20611,78.24028,4.85
20.72556,78.31694,3.93
20.86139,78.58222,3.4
20.85306,78.32583,6
21.20361,78.19222,4.97
20.91667,78.48333,4.7
21.30833,78.24167,4.77
20.53333,78.38333,9.3
20.57167,78.40361,3.76
20.65,78.46667,3.23
20.58444,78.52833,5.89
20.58639,78.60528,7.16
20.90833,78.71667,7.2
20.85,78.8,8.2
20.80667,78.88556,5.8
20.81389,78.59028,9.53
20.51667,79.04167,1.77
20.51722,78.9725,3.6
20.63889,78.96389,3
20.65,78.92917,3.62
20.7375,78.92556,5.1
20.63167,79.05778,3.74
20.65833,79.11667,2.7
20.72583,78.585,1.35
20.85,78.51667,10.5
20.655,78.775,5.69
20.65833,78.56667,6.96
20.73333,78.45,6.3
20.71667,78.56667,3.55
20.54611,79.10639,2.76
20.99833,78.2275,7.18
21.11806,78.36889,3.45
